model,topic,predicate,arg1,arg2,status,detail
sonnet,plato,created_by,allegory_of_the_cave,plato,not_in_wikidata,no claim
sonnet,virginia_woolf,published_in,the_voyage_out,x1915,verified,1915 ~ [1915]
sonnet,franz_kafka,written_by,america_the_man_who_disappeared,franz_kafka,link_fail,entity not linked
sonnet,friedrich_nietzsche,written_by,twilight_of_the_idols,friedrich_nietzsche,verified,P50 match
sonnet,friedrich_nietzsche,published_in,beyond_good_and_evil,x1886,verified,"1886 ~ [1886, 1886]"
sonnet,hp_lovecraft,published_in,the_rats_in_the_walls,x1924,verified,1924 ~ [1924]
sonnet,virginia_woolf,located_in,bloomsbury_group,london,not_in_wikidata,no claim
sonnet,friedrich_nietzsche,published_in,on_the_genealogy_of_morality,x1887,verified,"1887 ~ [1887, 1887]"
sonnet,immanuel_kant,died_in,immanuel_kant,x1804,verified,1804 ~ [1804]
sonnet,franz_kafka,written_by,letter_to_his_father,franz_kafka,verified,P50 match
sonnet,franz_kafka,influenced_by,albert_camus,franz_kafka,verified,P737 match
sonnet,franz_kafka,influenced_by,jorge_luis_borges,franz_kafka,not_in_wikidata,relation absent
sonnet,virginia_woolf,written_by,the_voyage_out,virginia_woolf,verified,P50 match
sonnet,hp_lovecraft,written_by,the_colour_out_of_space,h_p_lovecraft,not_in_wikidata,relation absent
sonnet,virginia_woolf,written_by,orlando,virginia_woolf,not_in_wikidata,no claim
sonnet,friedrich_nietzsche,written_by,the_birth_of_tragedy,friedrich_nietzsche,verified,P50 match
opus,plato,located_in,the_academy,athens,not_in_wikidata,relation absent
opus,hp_lovecraft,written_by,the_case_of_charles_dexter_ward,h_p_lovecraft,not_in_wikidata,relation absent
opus,virginia_woolf,born_in,virginia_woolf,x1882,verified,1882 ~ [1882]
opus,virginia_woolf,written_by,three_guineas,virginia_woolf,verified,P50 match
opus,the_renaissance,born_in,niccolo_machiavelli,x1469,verified,1469 ~ [1469]
opus,immanuel_kant,influenced_by,immanuel_kant,gottfried_leibniz,not_in_wikidata,relation absent
opus,the_renaissance,created_by,the_last_supper,leonardo_da_vinci,verified,P170 match
opus,franz_kafka,influenced_by,franz_kafka,gustave_flaubert,verified,P737 match
opus,friedrich_nietzsche,born_in,friedrich_nietzsche,x1844,verified,1844 ~ [1844]
opus,immanuel_kant,written_by,the_metaphysics_of_morals,immanuel_kant,verified,P50 match
opus,virginia_woolf,published_in,mrs_dalloway,x1925,verified,1925 ~ [1925]
opus,hp_lovecraft,published_in,the_rats_in_the_walls,x1924,verified,1924 ~ [1924]
opus,virginia_woolf,published_in,night_and_day,x1919,not_in_wikidata,no publication date
opus,franz_kafka,written_by,a_hunger_artist,franz_kafka,verified,P50 match
opus,virginia_woolf,written_by,the_waves,virginia_woolf,verified,P50 match
opus,friedrich_nietzsche,published_in,thus_spoke_zarathustra,x1883,verified,1883 ~ [1885]
opus,virginia_woolf,written_by,between_the_acts,virginia_woolf,verified,P50 match
opus,plato,influenced_by,aristotle,plato,not_in_wikidata,no claim
opus,franz_kafka,influenced_by,franz_kafka,soren_kierkegaard,not_in_wikidata,relation absent
opus,the_renaissance,written_by,the_prince,niccolo_machiavelli,verified,P50 match
opus,franz_kafka,written_by,the_judgment,franz_kafka,verified,P50 match
opus,plato,born_in,plato,x428,verified,"428 ~ [427, 429, 428]"
opus,friedrich_nietzsche,written_by,thus_spoke_zarathustra,friedrich_nietzsche,verified,P50 match
opus,hp_lovecraft,published_in,the_dunwich_horror,x1929,verified,1929 ~ [1929]
opus,friedrich_nietzsche,written_by,the_will_to_power,friedrich_nietzsche,verified,P50 match
opus,the_renaissance,born_in,sandro_botticelli,x1445,verified,"1445 ~ [1445, 1446]"
opus,plato,written_by,phaedrus,plato,verified,P50 match
opus,friedrich_nietzsche,written_by,ecce_homo,friedrich_nietzsche,not_in_wikidata,relation absent
opus,plato,written_by,crito,plato,verified,P50 match
opus,the_french_revolution,influenced_by,the_french_revolution,the_enlightenment,not_in_wikidata,no claim
opus,immanuel_kant,written_by,what_is_enlightenment,immanuel_kant,not_in_wikidata,relation absent
opus,hp_lovecraft,created_by,cthulhu,h_p_lovecraft,not_in_wikidata,no claim
opus,plato,written_by,the_laws,plato,not_in_wikidata,no claim
opus,plato,influenced_by,plato,pythagoras,not_in_wikidata,relation absent
opus,franz_kafka,written_by,in_the_penal_colony,franz_kafka,verified,P50 match
opus,hp_lovecraft,published_in,the_shadow_over_innsmouth,x1936,verified,1936 ~ [1936]
opus,the_renaissance,born_in,michelangelo,x1475,verified,1475 ~ [1475]
opus,the_renaissance,published_in,in_praise_of_folly,x1511,verified,1511 ~ [1511]
opus,franz_kafka,written_by,the_castle,franz_kafka,verified,P50 match
opus,the_renaissance,born_in,raphael,x1483,verified,"1483 ~ [1483, 1483, 1483]"
opus,franz_kafka,published_in,amerika,x1927,verified,1927 ~ [1927]
opus,plato,influenced_by,plato,socrates,verified,P737 match
opus,virginia_woolf,published_in,three_guineas,x1938,verified,1938 ~ [1938]
opus,hp_lovecraft,written_by,the_whisperer_in_darkness,h_p_lovecraft,not_in_wikidata,relation absent
opus,world_war_i,written_by,the_fourteen_points,woodrow_wilson,not_in_wikidata,no claim
opus,the_renaissance,located_in,the_medici_family,florence,not_in_wikidata,relation absent
opus,immanuel_kant,published_in,what_is_enlightenment,x1784,not_in_wikidata,no publication date
opus,virginia_woolf,written_by,the_voyage_out,virginia_woolf,verified,P50 match
opus,friedrich_nietzsche,died_in,friedrich_nietzsche,x1900,verified,1900 ~ [1900]
opus,immanuel_kant,influenced_by,german_idealism,immanuel_kant,not_in_wikidata,no claim
opus,plato,written_by,the_apology,plato,verified,P50 match
opus,plato,written_by,gorgias,plato,verified,P50 match
opus,the_french_revolution,located_in,the_storming_of_the_bastille,paris,not_in_wikidata,relation absent
opus,plato,influenced_by,neoplatonism,plato,not_in_wikidata,no claim
opus,franz_kafka,published_in,the_castle,x1926,verified,1926 ~ [1926]
opus,hp_lovecraft,influenced_by,h_p_lovecraft,arthur_machen,not_in_wikidata,no claim
opus,immanuel_kant,published_in,critique_of_pure_reason,x1781,verified,"1781 ~ [1781, 1787]"
opus,immanuel_kant,born_in,immanuel_kant,x1724,verified,1724 ~ [1724]
opus,virginia_woolf,written_by,a_room_of_ones_own,virginia_woolf,not_in_wikidata,no claim
opus,world_war_i,died_in,archduke_franz_ferdinand,x1914,verified,1914 ~ [1914]
opus,franz_kafka,published_in,a_hunger_artist,x1922,verified,1922 ~ [1922]
opus,plato,written_by,theaetetus,plato,verified,P50 match
opus,friedrich_nietzsche,written_by,beyond_good_and_evil,friedrich_nietzsche,verified,P50 match
opus,hp_lovecraft,published_in,the_whisperer_in_darkness,x1931,verified,1931 ~ [1931]
opus,friedrich_nietzsche,influenced_by,martin_heidegger,friedrich_nietzsche,verified,P737 match
opus,friedrich_nietzsche,influenced_by,friedrich_nietzsche,ralph_waldo_emerson,verified,P737 match
opus,friedrich_nietzsche,written_by,on_the_genealogy_of_morality,friedrich_nietzsche,verified,P50 match
opus,the_renaissance,born_in,erasmus,x1466,verified,"1466 ~ [1466, 1466, 1469]"
opus,immanuel_kant,influenced_by,johann_gottlieb_fichte,immanuel_kant,verified,P737 match
opus,plato,founded_by,the_academy,plato,not_in_wikidata,relation absent
