model,topic,predicate,arg1,arg2,status_naive,status_improved,detail
Claude Sonnet 3.7,lovecraft,written_by,the_call_of_cthulhu,hp_lovecraft,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,kafka,influenced_by,jeanpaul_sartre,martin_heidegger,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,kafka,died_in,franz_kafka,kierling,verified,verified,place match
Claude Sonnet 3.7,homer,written_by,theogony,hesiod,verified,verified,P50 match
Claude Sonnet 3.7,lovecraft,written_by,the_dunwich_horror,hp_lovecraft,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,lovecraft,created_by,dagon,hp_lovecraft,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,civil_war,located_in,battle_of_gettysburg,pennsylvania,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,aristotle,influenced_by,aristotle,plato,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,kierkegaard,influenced_by,søren_kierkegaard,jg_fichte,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,homer,written_by,ulysses,james_joyce,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,shelley,published_in,frankenstein,x1818,not_in_wikidata,contradicted,"claimed 1818, wikidata [1987]"
Claude Sonnet 3.7,kierkegaard,influenced_by,jeanpaul_sartre,edmund_husserl,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,shelley,written_by,falkner,mary_shelley,not_in_wikidata,verified,P50 match
Claude Sonnet 3.7,homer,influenced_by,aeneid,iliad,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,lovecraft,published_in,the_dunwich_horror,x1929,verified,verified,1929 ~ [1929]
Claude Sonnet 3.7,lovecraft,published_in,hp_lovecraft,weird_tales,unsupported,unsupported,object not a year
Claude Sonnet 3.7,dante,influenced_by,ts_eliot,the_divine_comedy,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,shelley,created_by,the_creature,victor_frankenstein,verified,not_in_wikidata,no claim
Claude Sonnet 3.7,lovecraft,created_by,necronomicon,hp_lovecraft,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,kierkegaard,influenced_by,french_existentialism,søren_kierkegaard,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,tolstoy,published_in,anna_karenina,x1877,contradicted,verified,1877 ~ [1877]
Claude Sonnet 3.7,lovecraft,created_by,nyarlathotep,hp_lovecraft,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,nietzsche,influenced_by,postmodernism,friedrich_nietzsche,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,homer,influenced_by,james_joyce,homer,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,lovecraft,influenced_by,pseudodionysius,plotinus,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,nietzsche,influenced_by,friedrich_nietzsche,presocratic_philosophers,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,kant,influenced_by,german_idealism,immanuel_kant,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,woolf,written_by,flush_a_biography,virginia_woolf,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,homer,influenced_by,renaissance_literature,homer,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,lovecraft,written_by,the_colour_out_of_space,hp_lovecraft,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,nietzsche,influenced_by,friedrich_nietzsche,richard_wagner,verified,verified,P737 match
Claude Sonnet 3.7,plato,influenced_by,plato,pythagoras,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,civil_war,born_in,robert_e_lee,x1807,verified,not_in_wikidata,no date
Claude Sonnet 3.7,hume,influenced_by,charles_darwin,david_hume,verified,verified,P737 match
Claude Sonnet 3.7,dickinson,influenced_by,transcendentalism,romanticism,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,civil_war,located_in,battle_of_vicksburg,mississippi,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,kant,influenced_by,immanuel_kant,david_hume,verified,verified,P737 match
Claude Sonnet 3.7,shelley,influenced_by,mary_shelley,percy_bysshe_shelley,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,lovecraft,created_by,dream_cycle,hp_lovecraft,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,kierkegaard,influenced_by,søren_kierkegaard,gwf_hegel,verified,verified,P737 match
Claude Sonnet 3.7,kant,influenced_by,arthur_schopenhauer,immanuel_kant,verified,verified,P737 match
Claude Sonnet 3.7,civil_war,located_in,emancipation_proclamation,united_states_national_archives,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,civil_war,died_in,william_tecumseh_sherman,x1891,verified,verified,1891 ~ [1891]
Claude Sonnet 3.7,tolstoy,influenced_by,james_joyce,war_and_peace_novel,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,sartre,influenced_by,jeanpaul_sartre,karl_marx,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,kierkegaard,influenced_by,martin_heidegger,søren_kierkegaard,verified,verified,P737 match
Claude Sonnet 3.7,lovecraft,written_by,the_colour_out_of_space,hp_lovecraft,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,shelley,written_by,mathilda,mary_shelley,not_in_wikidata,verified,P50 match
Claude Sonnet 3.7,hume,influenced_by,immanuel_kant,david_hume,verified,verified,P737 match
Claude Sonnet 3.7,aquinas,influenced_by,thomas_aquinas,albertus_magnus,verified,verified,P737 match
Claude Sonnet 3.7,lovecraft,published_in,shadow_over_innsmouth,x1936,link_fail,link_fail,work not linked
Claude Sonnet 3.7,shelley,published_in,frankenstein_novel,x1818_publication,link_fail,link_fail,work not linked
Claude Sonnet 3.7,plato,founded_by,academy,plato,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,plato,influenced_by,plato,heraclitus,verified,verified,P737 match
Claude Sonnet 3.7,plato,founded_by,academy_of_athens_ancient,plato,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,shelley,written_by,the_last_man,mary_shelley,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,aquinas,influenced_by,john_locke,natural_law,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,tolstoy,published_in,resurrection,x1899,contradicted,contradicted,"claimed 1899, wikidata [1992]"
Claude Sonnet 3.7,plato,influenced_by,plotinus,plato,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,sartre,influenced_by,jeanpaul_sartre,edmund_husserl,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,nietzsche,influenced_by,existentialism,friedrich_nietzsche,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,dickinson,influenced_by,emily_dickinson,transcendentalism,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,dickinson,published_in,the_raven,x1845,verified,verified,1845 ~ [1845]
Claude Sonnet 3.7,nietzsche,influenced_by,jeanpaul_sartre,friedrich_nietzsche,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,lovecraft,published_in,the_horror_at_red_hook,weird_tales_magazine,unsupported,unsupported,object not a year
Claude Sonnet 3.7,kafka,published_in,the_metamorphosis,x1915,verified,verified,"1915 ~ [1915, 1915]"
Claude Sonnet 3.7,shelley,written_by,valperga,mary_shelley,not_in_wikidata,verified,P50 match
Claude Sonnet 3.7,aquinas,influenced_by,thomas_aquinas,augustine_of_hippo,verified,verified,P737 match
Claude Sonnet 3.7,aquinas,influenced_by,francisco_suárez,thomas_aquinas,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,tolstoy,written_by,the_kingdom_of_god_is_within_you,leo_tolstoy,verified,verified,P50 match
Claude Sonnet 3.7,hume,influenced_by,ge_moore,distinction_between_is_and_ought,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,aquinas,influenced_by,thomas_aquinas,aristotle,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,dante,written_by,divine_comedy,dante_alighieri,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,woolf,written_by,the_hours_novel,michael_cunningham,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,plato,influenced_by,gwf_hegel,plato,verified,verified,P737 match
Claude Sonnet 3.7,dickinson,influenced_by,emily_dickinson,ralph_waldo_emerson,verified,verified,P737 match
Claude Sonnet 3.7,plato,founded_by,academy,plato,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,tolstoy,influenced_by,mahatma_gandhi,leo_tolstoy,verified,verified,P737 match
Claude Sonnet 3.7,hume,influenced_by,utilitarianism,david_hume,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,kierkegaard,influenced_by,martin_buber,søren_kierkegaard,verified,verified,P737 match
Claude Sonnet 3.7,woolf,published_in,the_waves,interwar_period,unsupported,unsupported,object not a year
Claude Sonnet 3.7,kafka,published_in,the_castle,x1926,contradicted,verified,1926 ~ [1926]
Claude Sonnet 3.7,civil_war,died_in,jefferson_davis,x1889,verified,contradicted,"claimed 1889, wikidata [1879]"
Claude Sonnet 3.7,kafka,influenced_by,martin_heidegger,edmund_husserl,verified,verified,P737 match
Claude Sonnet 3.7,plato,influenced_by,augustine,plato,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,civil_war,died_in,ulysses_s_grant,x1885,verified,verified,"1885 ~ [1885, 1885]"
Claude Sonnet 3.7,tolstoy,published_in,war_and_peace,x1869,not_in_wikidata,verified,1869 ~ [1869]
Claude Sonnet 3.7,shelley,published_in,valperga,x1823,not_in_wikidata,verified,1823 ~ [1823]
Claude Sonnet 3.7,kierkegaard,influenced_by,albert_camus,friedrich_nietzsche,verified,verified,P737 match
Claude Sonnet 3.7,woolf,written_by,mrs_dalloway,virginia_woolf,verified,verified,P50 match
Claude Sonnet 3.7,plato,influenced_by,plato,parmenides,verified,verified,P737 match
Claude Sonnet 3.7,aquinas,influenced_by,john_finnis,thomas_aquinas,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,woolf,published_in,a_room_of_ones_own,interwar_period,unsupported,unsupported,object not a year
Claude Sonnet 3.7,lovecraft,influenced_by,hp_lovecraft,algernon_blackwood,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,plato,influenced_by,christianity,platonism,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,nietzsche,influenced_by,gilles_deleuze,friedrich_nietzsche,verified,verified,P737 match
Claude Sonnet 3.7,lovecraft,created_by,randolph_carter,hp_lovecraft,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,plato,influenced_by,aristotle,plato,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,dante,influenced_by,dante_alighieri,medieval_christianity,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,hume,influenced_by,david_hume,george_berkeley,verified,verified,P737 match
Claude Sonnet 3.7,hume,influenced_by,david_hume,isaac_newton,verified,verified,P737 match
Claude Sonnet 3.7,lovecraft,published_in,the_colour_out_of_space,x1927,verified,verified,1927 ~ [1927]
Claude Sonnet 3.7,woolf,written_by,between_the_acts,virginia_woolf,not_in_wikidata,verified,P50 match
Claude Sonnet 3.7,plato,influenced_by,aristotle,plato,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,tolstoy,published_in,war_and_peace_novel,russian_empire,link_fail,link_fail,work not linked
Claude Sonnet 3.7,aquinas,influenced_by,étienne_gilson,thomas_aquinas,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,nietzsche,influenced_by,martin_heidegger,friedrich_nietzsche,verified,verified,P737 match
Claude Sonnet 3.7,kierkegaard,influenced_by,albert_camus,søren_kierkegaard,verified,verified,P737 match
Claude Sonnet 3.7,woolf,influenced_by,omega_workshops,postimpressionism,not_in_wikidata,not_in_wikidata,no claim
Claude Sonnet 3.7,kant,influenced_by,immanuel_kant,jeanjacques_rousseau,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,kant,influenced_by,immanuel_kant,christian_wolff,not_in_wikidata,not_in_wikidata,relation absent
Claude Sonnet 3.7,plato,influenced_by,plato,parmenides,verified,verified,P737 match
Claude Sonnet 3.7,tolstoy,influenced_by,leo_tolstoy,nikolai_gogol,verified,verified,P737 match
Claude Sonnet 3.7,sartre,influenced_by,jeanpaul_sartre,georg_wilhelm_friedrich_hegel,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,civil_war,located_in,appomattox_court_house,virginia,verified,verified,P131 match
Claude Sonnet 3.7,nietzsche,influenced_by,michel_foucault,friedrich_nietzsche,verified,verified,P737 match
Claude Sonnet 3.7,shelley,written_by,frankenstein_novel,mary_shelley,link_fail,link_fail,entity not linked
Claude Sonnet 3.7,tolstoy,influenced_by,leo_tolstoy,alexander_pushkin,verified,verified,P737 match
Claude Sonnet 3.7,woolf,written_by,the_waves,virginia_woolf,not_in_wikidata,verified,P50 match
Claude Sonnet 3.7,kafka,influenced_by,albert_camus,friedrich_nietzsche,verified,verified,P737 match
Claude Sonnet 3.7,civil_war,born_in,ulysses_s_grant,x1822,verified,verified,"1822 ~ [1822, 1822]"
GPT-4.1,gabriel_garcia_marquez,influenced_by,gabriel_garcia_marquez,cuban_revolution,not_in_wikidata,not_in_wikidata,relation absent
GPT-4.1,world_war_ii,located_in,battle_of_stalingrad,stalingrad_soviet_union,link_fail,link_fail,entity not linked
GPT-4.1,john_locke,influenced_by,jeanjacques_rousseau,john_locke,link_fail,link_fail,entity not linked
GPT-4.1,haruki_murakami,published_in,hardboiled_wonderland_and_the_end_of_the_world,x1985,verified,verified,1985 ~ [1985]
GPT-4.1,woolf,published_in,ulysses,x1922,not_in_wikidata,contradicted,"claimed 1922, wikidata [1961]"
GPT-4.1,the_black_death,born_in,giovanni_boccaccio,x1313,verified,verified,"1313 ~ [1313, 1313, 1313]"
GPT-4.1,gabriel_garcia_marquez,influenced_by,midnights_children,one_hundred_years_of_solitude,link_fail,link_fail,entity not linked
GPT-4.1,homer,written_by,theogony,hesiod,verified,verified,P50 match
GPT-4.1,the_protestant_reformation,died_in,john_calvin,x1564,verified,verified,1564 ~ [1564]
GPT-4.1,civil_war,died_in,robert_e_lee,x1870,verified,not_in_wikidata,no date
GPT-4.1,kafka,published_in,the_brothers_karamazov,x1880,verified,verified,1880 ~ [1880]
GPT-4.1,sartre,influenced_by,albert_camus,friedrich_nietzsche,verified,verified,P737 match
GPT-4.1,fyodor_dostoevsky,born_in,fyodor_dostoevsky,moscow,verified,verified,place match
GPT-4.1,tolstoy,published_in,fathers_and_sons,x1862,verified,verified,1862 ~ [1862]
GPT-4.1,augustine_of_hippo,influenced_by,reformation_theology,augustinianism,not_in_wikidata,not_in_wikidata,no claim
GPT-4.1,homer,written_by,the_iliad,homer,verified,verified,P50 match
GPT-4.1,dickinson,influenced_by,emily_dickinson,the_bible,not_in_wikidata,not_in_wikidata,relation absent
GPT-4.1,roman_empire,founded_by,ostrogothic_kingdom,theoderic_the_great,not_in_wikidata,not_in_wikidata,no claim
GPT-4.1,charlotte_bronte,written_by,lady_audleys_secret,mary_elizabeth_braddon,link_fail,link_fail,entity not linked
GPT-4.1,mark_twain,influenced_by,american_realism,european_realism,link_fail,link_fail,entity not linked
GPT-4.1,shelley,written_by,frankenstein_or_the_modern_prometheus,mary_shelley,verified,verified,P50 match
GPT-4.1,nietzsche,influenced_by,eternal_recurrence,arthur_schopenhauer,not_in_wikidata,not_in_wikidata,no claim
GPT-4.1,sartre,influenced_by,martin_heidegger,søren_kierkegaard,verified,verified,P737 match
GPT-4.1,john_locke,influenced_by,enlightenment,social_contract_theory,not_in_wikidata,not_in_wikidata,no claim
GPT-4.1,ludwig_wittgenstein,influenced_by,john_searle,jl_austin,link_fail,link_fail,entity not linked
GPT-4.1,homer,influenced_by,aeneid,the_odyssey,not_in_wikidata,not_in_wikidata,no claim
GPT-4.1,simone_de_beauvoir,influenced_by,simone_de_beauvoir,jeanpaul_sartre,link_fail,link_fail,entity not linked
GPT-4.1,mark_twain,written_by,daisy_miller,henry_james,not_in_wikidata,verified,P50 match
GPT-4.1,the_protestant_reformation,died_in,huldrych_zwingli,x1531,verified,verified,1531 ~ [1531]
GPT-4.1,karl_marx,influenced_by,western_marxism,historical_materialism,not_in_wikidata,not_in_wikidata,no claim
GPT-4.1,borges,published_in,the_book_of_sand,x1975,verified,verified,1975 ~ [1975]
GPT-4.1,gabriel_garcia_marquez,born_in,gabriel_garcia_marquez,aracataca,verified,verified,place match
GPT-4.1,dickinson,written_by,collected_poems,emily_dickinson,not_in_wikidata,not_in_wikidata,relation absent
GPT-4.1,james_joyce,born_in,james_joyce,dublin,verified,verified,place match
GPT-4.1,borges,published_in,el_aleph,x1949,contradicted,verified,1949 ~ [1949]
GPT-4.1,charlotte_bronte,written_by,the_professor,charlotte_brontë,not_in_wikidata,verified,P50 match
GPT-4.1,maya_angelou,published_in,on_the_pulse_of_morning,x1993,not_in_wikidata,not_in_wikidata,no publication date
GPT-4.1,industrial_revolution,died_in,charles_dickens,x1870,link_fail,link_fail,person not linked
GPT-4.1,borges,published_in,the_garden_of_forking_paths,x1941,not_in_wikidata,verified,1941 ~ [1941]
GPT-4.1,gabriel_garcia_marquez,published_in,love_in_the_time_of_cholera,x1985,verified,verified,1985 ~ [1985]
GPT-4.1,ludwig_wittgenstein,influenced_by,logical_positivism,tractatus_logicophilosophicus,link_fail,link_fail,entity not linked
GPT-4.1,the_space_race,born_in,gene_kranz,x1933,verified,verified,1933 ~ [1933]
GPT-4.1,kafka,published_in,metamorphosis,x1915,contradicted,contradicted,"claimed 1915, wikidata [1972]"
GPT-4.1,roman_empire,located_in,constantinople,eastern_roman_empire,verified,not_in_wikidata,relation absent
GPT-4.1,tolstoy,written_by,leo_tolstoys_short_stories,leo_tolstoy,link_fail,link_fail,entity not linked
GPT-4.1,civil_war,located_in,appomattox_court_house,virginia,verified,verified,P131 match
GPT-4.1,fyodor_dostoevsky,written_by,the_idiot,fyodor_dostoevsky,verified,verified,P50 match
GPT-4.1,woolf,published_in,pilgrimage,x19151967,unsupported,unsupported,object not a year
GPT-4.1,industrial_revolution,died_in,george_stephenson,x1848,link_fail,link_fail,person not linked
GPT-4.1,wwi,located_in,western_front,france,verified,verified,P276 match
GPT-4.1,jane_austen,written_by,emma,jane_austen,not_in_wikidata,not_in_wikidata,no claim
GPT-4.1,the_crusades,born_in,pope_urban_ii,x1042,contradicted,contradicted,"claimed 1042, wikidata [1035]"
GPT-4.1,borges,written_by,ficciones,jorge_luis_borges,verified,verified,P50 match
GPT-4.1,borges,influenced_by,borges_late_writing_style,blindness_borges_condition,link_fail,link_fail,entity not linked
GPT-4.1,renaissance,died_in,desiderius_erasmus,x1536,verified,verified,"1536 ~ [1536, 1536, 1536]"
GPT-4.1,the_crusades,located_in,the_crusades,holy_land,not_in_wikidata,not_in_wikidata,no claim
GPT-4.1,maya_angelou,written_by,the_souls_of_black_folk,w_e_b_du_bois,link_fail,link_fail,entity not linked
GPT-4.1,fyodor_dostoevsky,written_by,notes_from_underground,fyodor_dostoevsky,verified,verified,P50 match
GPT-4.1,dante,written_by,convivio,dante_alighieri,verified,verified,P50 match
GPT-4.1,dickinson,influenced_by,emily_dickinson,emily_brontë,not_in_wikidata,not_in_wikidata,relation absent
GPT-4.1,william_shakespeare,written_by,king_lear,william_shakespeare,verified,verified,P50 match
GPT-4.1,sartre,influenced_by,jeanpaul_sartre,martin_heidegger,link_fail,link_fail,entity not linked
GPT-4.1,the_space_race,born_in,sergei_korolev,x1907,verified,verified,"1907 ~ [1906, 1907]"
GPT-4.1,kafka,published_in,the_stranger,x1942,contradicted,contradicted,"claimed 1942, wikidata [1909]"
GPT-4.1,the_protestant_reformation,died_in,martin_luther,x1546,verified,verified,1546 ~ [1546]
GPT-4.1,sylvia_plath,born_in,sylvia_plath,boston,verified,verified,place match
GPT-4.1,roman_empire,born_in,constantine_the_great,x272,verified,verified,"272 ~ [272, 274, 274, 300]"
GPT-4.1,fyodor_dostoevsky,influenced_by,lev_shestov,fyodor_dostoevsky,verified,verified,P737 match
GPT-4.1,haruki_murakami,written_by,the_housekeeper_and_the_professor,yoko_ogawa,verified,verified,P50 match
GPT-4.1,james_joyce,influenced_by,virginia_woolf,james_joyce,not_in_wikidata,not_in_wikidata,relation absent
GPT-4.1,james_joyce,published_in,the_dead,x1914,not_in_wikidata,verified,1914 ~ [1914]
GPT-4.1,industrial_revolution,born_in,samuel_slater,x1768,link_fail,link_fail,person not linked
GPT-4.1,woolf,written_by,jacobs_room,virginia_woolf,link_fail,link_fail,entity not linked
GPT-4.1,mark_twain,influenced_by,the_adventures_of_huckleberry_finn,american_dialect,not_in_wikidata,not_in_wikidata,no claim
GPT-4.1,civil_war,located_in,battle_of_fort_sumter,south_carolina,not_in_wikidata,not_in_wikidata,relation absent
GPT-4.1,aquinas,influenced_by,natural_law,human_nature,not_in_wikidata,not_in_wikidata,no claim
GPT-4.1,james_joyce,influenced_by,to_the_lighthouse,ulysses,not_in_wikidata,not_in_wikidata,no claim
GPT-4.1,world_war_ii,died_in,adolf_hitler,x1945,verified,not_in_wikidata,no date
GPT-4.1,kant,influenced_by,gwf_hegel,immanuel_kant,verified,verified,P737 match
GPT-4.1,kafka,written_by,letter_to_his_father,franz_kafka,verified,verified,P50 match
GPT-4.1,lovecraft,written_by,the_call_of_cthulhu,hp_lovecraft,not_in_wikidata,not_in_wikidata,relation absent
GPT-4.1,homer,published_in,the_iliad,c_8th_century_bce,unsupported,unsupported,object not a year
GPT-4.1,renaissance,died_in,copernicus,x1543,verified,verified,"1543 ~ [1543, 1543]"
GPT-4.1,james_joyce,written_by,the_dead,james_joyce,not_in_wikidata,verified,P50 match
GPT-4.1,kafka,written_by,the_trial,franz_kafka,verified,verified,P50 match
GPT-4.1,fyodor_dostoevsky,written_by,demons,fyodor_dostoevsky,not_in_wikidata,verified,P50 match
GPT-4.1,the_space_race,founded_by,nasa,united_states,not_in_wikidata,not_in_wikidata,no claim
GPT-4.1,the_space_race,born_in,wernher_von_braun,x1912,verified,verified,1912 ~ [1912]
GPT-4.1,industrial_revolution,located_in,manchester,england,not_in_wikidata,not_in_wikidata,relation absent
